,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
1580744,112878,23.01.14,20140517,20140123,C,820000,13.8,16.3,1,0.11646,102586106,,1,CBOE S&P 100 INDEX,E,812.1300049
1582036,112878,24.01.14,20140517,20140123,C,820000,10.7,12.3,0,0.130208,102586106,,1,CBOE S&P 100 INDEX,E,796.2800293
1583242,112878,27.01.14,20140517,20140127,C,820000,8.6,10.8,1,0.127482,102586106,,1,CBOE S&P 100 INDEX,E,792.5100098
1584448,112878,28.01.14,20140517,20140127,C,820000,8.3,10.4,0,0.119698,102586106,,1,CBOE S&P 100 INDEX,E,795.5
1585654,112878,29.01.14,20140517,20140127,C,820000,6.4,8.4,0,0.122803,102586106,,1,CBOE S&P 100 INDEX,E,786.9000244
1586954,112878,30.01.14,20140517,20140130,C,820000,7.9,9.9,2,0.118209,102586106,,1,CBOE S&P 100 INDEX,E,795.1900024
1588254,112878,31.01.14,20140517,20140130,C,820000,7.8,9.4,0,0.127338,102586106,,1,CBOE S&P 100 INDEX,E,789.7000122
1589464,112878,03.02.14,20140517,20140130,C,820000,4.4,6,0,0.13286,102586106,,1,CBOE S&P 100 INDEX,E,772.289978
1590674,112878,04.02.14,20140517,20140130,C,820000,4.3,6.2,0,0.125032,102586106,,1,CBOE S&P 100 INDEX,E,777.4099731
1591884,112878,05.02.14,20140517,20140130,C,820000,4.5,6.1,0,0.128393,102586106,,1,CBOE S&P 100 INDEX,E,776.0200195
1593188,112878,06.02.14,20140517,20140130,C,820000,5.4,6.8,0,0.119583,102586106,,1,CBOE S&P 100 INDEX,E,785.210022
1594492,112878,07.02.14,20140517,20140130,C,820000,6.6,8.7,0,0.112853,102586106,,1,CBOE S&P 100 INDEX,E,795.289978
1595704,112878,10.02.14,20140517,20140130,C,820000,7.1,8.8,0,0.114349,102586106,,1,CBOE S&P 100 INDEX,E,796.3200073
1596916,112878,11.02.14,20140517,20140130,C,820000,10,11.7,0,0.11411,102586106,,1,CBOE S&P 100 INDEX,E,805.7399902
1598128,112878,12.02.14,20140517,20140212,C,820000,9.6,11.6,1,0.115164,102586106,,1,CBOE S&P 100 INDEX,E,804.8200073
1599344,112878,13.02.14,20140517,20140213,C,820000,10.7,12.4,1,0.113485,102586106,,1,CBOE S&P 100 INDEX,E,808.3900146
1600560,112878,14.02.14,20140517,20140214,C,820000,12.7,14.5,1,0.116585,102586106,,1,CBOE S&P 100 INDEX,E,812.5700073
1601686,112878,18.02.14,20140517,20140214,C,820000,12.1,13.6,0,0.115933,102586106,,1,CBOE S&P 100 INDEX,E,811.7800293
1602812,112878,19.02.14,20140517,20140214,C,820000,9.9,11.7,0,0.117676,102586106,,1,CBOE S&P 100 INDEX,E,805.8800049
1604030,112878,20.02.14,20140517,20140220,C,820000,11.2,13.1,20,0.117312,102586106,,1,CBOE S&P 100 INDEX,E,809.8800049
1605340,112878,21.02.14,20140517,20140220,C,820000,10.3,11.5,0,0.115902,102586106,,1,CBOE S&P 100 INDEX,E,807.3300171
1606562,112878,24.02.14,20140517,20140220,C,820000,12.5,14,0,0.12036,102586106,,1,CBOE S&P 100 INDEX,E,812.3400269
1607854,112878,25.02.14,20140517,20140220,C,820000,10.8,12.3,0,0.113611,102586106,,1,CBOE S&P 100 INDEX,E,810.7999878
