,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
3540707,112878,2018-09-26,2018-09-26,20180926.0,C,1330000,13.4,15.9,87,0.10405,124068755,,1,CBOE S&P 100 INDEX,E,1290.0799560546875
3543223,112878,2018-09-27,2018-09-27,20180926.0,C,1330000,14.8,17.2,0,0.103131,124068755,,1,CBOE S&P 100 INDEX,E,1295.3199462890625
3545739,112878,2018-09-28,2018-09-28,20180926.0,C,1330000,13.8,16.3,0,0.101265,124068755,,1,CBOE S&P 100 INDEX,E,1294.27001953125
3548069,112878,2018-10-01,2018-10-01,20180926.0,C,1330000,16.1,18.4,0,0.102449,124068755,,1,CBOE S&P 100 INDEX,E,1300.8399658203125
3550477,112878,2018-10-02,2018-10-02,20180926.0,C,1330000,16.7,19.2,0,0.104538,124068755,,1,CBOE S&P 100 INDEX,E,1301.56005859375
3552885,112878,2018-10-03,2018-10-03,20180926.0,C,1330000,17.6,19.7,0,0.105995,124068755,,1,CBOE S&P 100 INDEX,E,1302.800048828125
3555409,112878,2018-10-04,2018-10-04,20180926.0,C,1330000,13.7,16.4,0,0.107632,124068755,,1,CBOE S&P 100 INDEX,E,1291.530029296875
3557933,112878,2018-10-05,2018-10-05,20180926.0,C,1330000,11.4,13.9,0,0.108377,124068755,,1,CBOE S&P 100 INDEX,E,1283.3399658203125
3560299,112878,2018-10-08,2018-10-08,20180926.0,C,1330000,11.7,14.3,0,0.11082,124068755,,1,CBOE S&P 100 INDEX,E,1283.8699951171875
3562665,112878,2018-10-09,2018-10-09,20180926.0,C,1330000,11.7,14.1,0,0.111243,124068755,,1,CBOE S&P 100 INDEX,E,1283.5999755859375
3565031,112878,2018-10-10,2018-10-10,20180926.0,C,1330000,5.0,7.2,0,0.124777,124068755,,1,CBOE S&P 100 INDEX,E,1239.8299560546875
3567527,112878,2018-10-11,2018-10-11,20180926.0,C,1330000,2.9,5.1,0,0.133664,124068755,,1,CBOE S&P 100 INDEX,E,1214.2900390625
3570023,112878,2018-10-12,2018-10-12,20180926.0,C,1330000,3.1,5.2,0,0.117833,124068755,,1,CBOE S&P 100 INDEX,E,1233.6600341796875
